"","plot_id","ID","AGB","DataFile","FileTitle","Total.return.count","Total.return.count.above.2.00","Return.1.count.above.2.00","Return.2.count.above.2.00","Return.3.count.above.2.00","Return.4.count.above.2.00","Return.5.count.above.2.00","Return.6.count.above.2.00","Return.7.count.above.2.00","Return.8.count.above.2.00","Return.9.count.above.2.00","Other.return.count.above.2.00","Elev.minimum","Elev.maximum","Elev.mean","Elev.mode","Elev.stddev","Elev.variance","Elev.CV","Elev.IQ","Elev.skewness","Elev.kurtosis","Elev.AAD","Elev.MAD.median","Elev.MAD.mode","Elev.L1","Elev.L2","Elev.L3","Elev.L4","Elev.L.CV","Elev.L.skewness","Elev.L.kurtosis","Elev.P01","Elev.P05","Elev.P10","Elev.P20","Elev.P25","Elev.P30","Elev.P40","Elev.P50","Elev.P60","Elev.P70","Elev.P75","Elev.P80","Elev.P90","Elev.P95","Elev.P99","Canopy.relief.ratio","Elev.SQRT.mean.SQ","Elev.CURT.mean.CUBE","Int.minimum","Int.maximum","Int.mean","Int.mode","Int.stddev","Int.variance","Int.CV","Int.IQ","Int.skewness","Int.kurtosis","Int.AAD","Int.L1","Int.L2","Int.L3","Int.L4","Int.L.CV","Int.L.skewness","Int.L.kurtosis","Int.P01","Int.P05","Int.P10","Int.P20","Int.P25","Int.P30","Int.P40","Int.P50","Int.P60","Int.P70","Int.P75","Int.P80","Int.P90","Int.P95","Int.P99","Percentage.first.returns.above.2.00","Percentage.all.returns.above.2.00","X.All.returns.above.2.00.....Total.first.returns....100","First.returns.above.2.00","All.returns.above.2.00","Percentage.first.returns.above.mean","Percentage.first.returns.above.mode","Percentage.all.returns.above.mean","Percentage.all.returns.above.mode","X.All.returns.above.mean.....Total.first.returns....100","X.All.returns.above.mode.....Total.first.returns....100","First.returns.above.mean","First.returns.above.mode","All.returns.above.mean","All.returns.above.mode","Total.first.returns","Total.all.returns"
"11",13,"T4_P1",303.650288199999,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_13.laz","WebModelingApp_plot_13",172633,166118,106810,59308,0,0,0,0,0,0,0,0,2.01,38.75,17.960699,20.671587,7.652874,58.566486,0.42609,12.210001,-0.128264,2.107184,6.481523,6.08,5.928413,17.960699,4.397119,-0.162584,0.193349,0.244819,-0.036975,0.043972,2.67,4.98,7.23,10.45,12.07,13.4,15.85,18.34,20.879999,23.15,24.280001,25.360001,27.6,29.309999,32.639999,0.434151,19.523136,20.717341,1,56,16.174418,1,11.101214,123.236962,0.686344,19,0.386181,2.127237,9.53632,16.174418,6.33414,0.645024,0.076998,0.391615,0.101833,0.012156,1,1,2,5,6,7,11,15,19,23,25,27,32,35,41,98.716254,96.226098,153.53007,106810,166118,59.605911,49.640015,49.507916,39.390499,78.990564,62.848085,64493,53710,85467,68001,108199,172633
"12",14,"T4_P2",183.1597284,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_14.laz","WebModelingApp_plot_14",195509,183771,119252,64519,0,0,0,0,0,0,0,0,2.01,42.16,18.086507,24.315555,7.171308,51.427663,0.3965,11.54,-0.328753,2.175121,6.103855,5.540001,5.415556,18.086507,4.094014,-0.374282,0.17746,0.226357,-0.091422,0.043346,2.68,5.32,7.67,11.08,12.39,13.64,16.610001,19.290001,21.299999,23.09,23.93,24.790001,26.6,27.98,30.879999,0.400411,19.456339,20.476604,1,53,15.129259,1,10.37542,107.649342,0.685785,17,0.396098,2.140377,8.906071,15.129259,5.91781,0.616629,0.08138,0.39115,0.104199,0.013752,1,1,2,4,6,7,10,14,18,21,23,25,30,33,39,96.742843,93.996184,149.083696,119252,183771,63.940065,29.486399,52.188902,21.422032,82.77479,33.976652,78817,36347,102034,41882,123267,195509
"13",15,"T4_P3",168.6651773,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_15.laz","WebModelingApp_plot_15",230020,202668,121936,80732,0,0,0,0,0,0,0,0,2.01,38.610001,19.473529,29.314762,10.505976,110.375531,0.5395,20.009999,-0.124591,1.609152,9.410994,9.530001,8.724762,19.473529,6.034747,-0.246459,-0.263128,0.309895,-0.04084,-0.043602,2.22,3.23,4.79,7.88,9.29,11.32,15.4,20.629999,24.629999,28.17,29.299999,30.280001,32.509998,34.02,36.299999,0.477146,22.126756,23.921271,1,57,12.817919,1,9.710512,94.294043,0.757573,16,0.698259,2.569156,8.191027,12.817919,5.431751,0.996249,0.201132,0.423762,0.183412,0.037029,1,1,2,4,4,5,8,10,14,18,20,22,27,31,37,92.930525,88.10886,154.458434,121936,202668,54.344115,30.565802,46.008608,21.952874,80.654971,38.484285,71306,40106,105829,50496,131212,230020
"14",16,"T4_P4",233.162956299999,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_16.laz","WebModelingApp_plot_16",268685,264484,163259,101225,0,0,0,0,0,0,0,0,2.01,50.41,24.72502,30.435397,9.721659,94.510656,0.393191,13.52,-0.096874,2.490292,8.000652,6.740002,7.595397,24.72502,5.540264,-0.166893,0.507609,0.224075,-0.030124,0.091622,3.8083,7.75,11.1,16.23,18.09,19.499001,22.18,25.299999,28.129999,30.469999,31.610001,33.150002,36.900002,40.310001,46.299999,0.469319,26.567591,28.035813,1,55,13.626809,1,9.446897,89.243868,0.693258,16,0.454976,2.245176,8.095021,13.626809,5.370669,0.63078,0.090541,0.394125,0.117449,0.016858,1,1,2,4,5,6,9,12,16,19,21,23,27,30,36,99.701979,98.436459,161.519906,163259,264484,57.426396,36.221732,50.945159,29.725143,83.593593,48.774634,94034,59312,136882,79867,163747,268685
"15",18,"T5_P2",153.865289499999,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_18.laz","WebModelingApp_plot_18",118647,115883,74514,41369,0,0,0,0,0,0,0,0,2.01,38.139999,16.823349,12.906349,7.870654,61.947197,0.467841,11.26,0.569863,2.449958,6.504723,4.81,4.533651,16.823349,4.419499,0.651887,0.370185,0.2627,0.147502,0.083762,3.21,6.141,7.78,10.264,11.16,11.97,13.39,14.8,16.75,20.17,22.42,25.07,28.83,31.48,35.529999,0.410001,18.573415,20.137154,1,60,18.003357,1,12.403103,153.836969,0.688933,22,0.352281,2.105843,10.669806,18.003357,7.085355,0.650625,0.066433,0.393557,0.091827,0.009376,1,1,2,5,6,8,13,17,22,26,28,30,35,39,46,99.637628,97.6704,154.954871,74514,115883,44.714849,71.848633,38.83284,62.117036,61.608611,98.549174,33440,53732,46074,73700,74785,118647
"16",19,"T5_P3",202.8012979,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_19.laz","WebModelingApp_plot_19",136930,129847,79329,50518,0,0,0,0,0,0,0,0,2.01,41.939999,19.216285,15.32,8.7289,76.19369,0.454245,13.03,0.134256,2.346831,7.254054,6.549999,6.870001,19.216285,4.995059,0.125618,0.369593,0.259939,0.025148,0.073992,2.58,5.02,7.49,11.21,12.71,14.02,16.4,18.790001,21.57,24.35,25.74,27.25,30.48,34.09,38.830002,0.430911,21.105893,22.622468,1,67,16.54019,1,12.252285,150.118494,0.740758,21,0.548648,2.352862,10.475871,16.54019,6.925321,0.999585,0.123203,0.418697,0.144338,0.01779,1,1,2,4,5,7,10,15,19,24,26,28,34,38,46,97.422263,94.827284,159.462347,79329,129847,57.883038,73.555779,46.0352,61.365661,77.413175,103.193005,47133,59895,63036,84028,81428,136930
"17",20,"T5_P4",257.1295968,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_20.laz","WebModelingApp_plot_20",168888,162021,100706,61315,0,0,0,0,0,0,0,0,2.01,47.049999,22.344061,28.462063,10.143508,102.890755,0.453969,14.09,-0.023493,2.436906,8.272884,6.41,7.697937,22.344061,5.764583,-0.132277,0.572791,0.257992,-0.022946,0.099364,2.58,4.81,7.75,12.58,14.58,16.76,20.549999,23.639999,25.860001,27.709999,28.67,29.66,35.66,40.290001,44.189999,0.451467,24.538688,26.22092,1,65,17.715599,1,12.727032,161.977337,0.718408,22,0.452933,2.210143,10.913806,17.715599,7.235647,0.866608,0.095775,0.408434,0.119769,0.013236,1,1,2,5,6,8,12,16,21,25,28,30,36,40,47,98.03933,95.933992,157.730724,100706,162021,64.147196,31.296729,52.272512,25.171119,85.944315,41.385319,65892,32148,88282,42511,102720,168888
"18",21,"T6_P1",254.157376499999,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_21.laz","WebModelingApp_plot_21",163180,159165,100996,58169,0,0,0,0,0,0,0,0,2.01,43.959999,20.837783,20.654444,7.986059,63.777131,0.383249,12.429999,-0.040053,2.489462,6.548393,6.14,6.215557,20.837783,4.552159,-0.093841,0.381993,0.218457,-0.020615,0.083915,3.4064,7.62,10.18,13.25,14.45,16.059999,19.27,21.200001,23.35,25.540001,26.879999,28.01,30.48,33.040001,39,0.448815,22.315688,23.522101,1,61,17.533911,1,12.08842,146.129893,0.689431,22,0.282935,1.910161,10.549014,17.533911,6.923681,0.564481,-0.071574,0.394874,0.081529,-0.010338,1,1,2,5,6,8,12,17,21,26,28,30,34,38,43,99.763916,97.539527,157.223292,100996,159165,62.494197,63.618314,50.667974,51.623974,81.671359,83.212328,63266,64404,82680,84240,101235,163180
"19",22,"T6_P2",138.7107204,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_22.laz","WebModelingApp_plot_22",103703,99654,64730,34924,0,0,0,0,0,0,0,0,2.01,39.349998,16.690988,16.234761,7.701354,59.31086,0.461408,10.509999,0.381068,2.801077,6.099201,5.26,5.234761,16.690988,4.349136,0.291961,0.508201,0.260568,0.067131,0.116851,2.78,4.76,6.44,9.78,11.06,12.37,14.75,16.35,17.9,20.09,21.57,23.02,27.07,31.040001,36.330002,0.393171,18.382039,19.826687,1,150,19.007606,1,15.222373,231.720633,0.800857,21,1.901535,10.782734,11.474368,19.007606,7.86967,1.428822,0.830501,0.414027,0.181561,0.105532,1,1,3,5,7,9,13,17,22,26,28,30,35,40,80,98.889347,96.095581,152.243458,64730,99654,54.023252,57.839498,45.541595,48.834653,72.151183,77.368349,35362,37860,47228,50643,65457,103703
"20",23,"T6_P3",338.875753799999,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_23.laz","WebModelingApp_plot_23",116470,112428,68795,43633,0,0,0,0,0,0,0,0,2.01,43.32,23.202307,29.55,9.898969,97.989587,0.426637,14.560001,-0.459541,2.190184,8.291308,6.469999,6.179999,23.202307,5.604867,-0.716239,0.312577,0.241565,-0.127789,0.055769,2.82,5.03,7.5,12.61,16.129999,18.33,22.559999,25.360001,27.92,29.93,30.690001,31.610001,34.66,36.529999,40.619999,0.513007,25.225697,26.621052,1,171,18.567554,1,17.479944,305.548453,0.941424,21,2.743588,15.473127,12.116212,18.567554,8.372895,2.153832,1.293919,0.450942,0.257239,0.154537,1,1,2,5,6,7,11,16,20,24,27,29,35,40,101,99.274149,96.529578,162.238448,68795,112428,65.631043,40.213282,55.604018,31.087834,93.454357,52.249704,45481,27867,64762,36208,69298,116470
